id_desdobramento_3,cd_desdobramento_3,nome
410,1,RECEITA INTRAORCAMENTARIA - OUTRAS RESTITUICOES
411,0,RECEITA INTRAORCAMENTARIA - DEMAIS RECEITAS CORRENTES
412,2,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA
413,3,"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - PRINCIPAL"
414,3,"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - MULTAS E JUROS"
415,3,"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - MULTAS E JUROS - COTA PARTE DO ESTADO PAR"
416,0,DEDUCAO DAS RECEITAS - VALORES MOBILIARIOS
417,1,"RECEITA INTRAORCAMENTARIA - CONCESSAO, PERMISSAO, AUTORIZACAO OU CESSAO DO DIREITO DE USO DE BENS IMOVEIS PUBLICOS"
418,1,RECEITA INTRAORCAMENTARIA - COMPENSACOES AMBIENTAIS
419,1,RECEITA INTRAORCAMENTARIA - RECEITA INDUSTRIAL
420,1,"RECEITA INTRAORCAMENTARIA - SERVICOS DE REGISTRO, CERTIFICACAO E FISCALIZACAO"
421,0,RECEITA INTRAORCAMENTARIA - TRANSFERENCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES
422,0,RECEITA INTRAORCAMENTARIA - OUTRAS RECEITAS CORRENTES
423,0,TRANSFERENCIAS DO EXTERIOR
424,1,RESULTADO DO BANCO CENTRAL - OPERACOES COM RESERVAS E DERIVATIVOS CAMBIAIS
425,0,RESGATE DE TITULOS DO TESOURO
426,4,DEDUCAO DAS RECEITAS - REMUNERACAO DOS RECURSOS DO REGIME PROPRIO DE PREVIDENCIA SOCIAL - RPPS
427,1,DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS
428,6,DEDUCAO DAS RECEITAS - COTA-PARTE DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS - PRINCIPAL - FUNDEB
429,1,DEDUCAO DAS RECEITAS - TRANSFERENCIA FINANCEIRA DO ICMS - DESONERACAO - L.C. NO 87/96 - PRINCIPAL - FUNDEB
430,1,RECEITA AGROPECUARIA
431,1,OUTRAS CONTRIBUICOES SOCIAIS
432,1,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE METROVIARIO
433,0,DELEGACAO PARA EXPLORACAO DA INFRAESTRUTURA AEROPORTUARIA
434,0,CONTRIBUICOES ECONOMICAS
435,1,"CONTRIBUICAO DE LOJAS FRANCAS, ENTREPOSTOS ADUANEIROS E DEPOSITOS ALFANDEGARIOS"
436,1,ROYALTIES MINIMOS PELA PRODUCAO DE PETROLEO EM TERRA (QUALQUER SITUACAO) - CONTRATO DE CONCESSAO
437,0,"CONTRIBUICAO PELA LICENCA DE USO, AQUISICAO OU TRANSFERENCIA DE TECNOLOGIA - CIDE - REMESSAS AO EXTERIOR"
438,3,ROYALTIES EXCEDENTES PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CONTRATO DE CONCESSAO - DECLARACAO DE COMERCIALIDADE ANTES DE 3/12/2012 - DEMAIS SITUAC
439,1,CONTRIBUICAO PARA FUNDOS DE ASSISTENCIA MEDICA -POLICIAIS MILITARES
440,2,CONTRIBUICAO PARA FUNDOS DE ASSISTENCIA MEDICA DOS BOMBEIROS MILITARES
441,0,PARTICIPACAO ESPECIAL PELA PRODUCAO DE PETROLEO - CONTRATO DE CONCESSAO
442,0,PETROLEO - REGIME DE CESSAO ONEROSA
443,0,ROYALTIES MINIMOS PELA PRODUCAO DE PETROLEO - CESSAO ONEROSA - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012
444,1,CONTRIBUICAO SOBRE A LOTERIA FEDERAL
445,3,CONTRIBUICAO SOBRE CONCURSOS ESPECIAIS DE LOTERIAS ESPORTIVAS
446,0,CONTRIBUICAO PARA O FOMENTO DA RADIODIFUSAO PUBLICA
447,0,CONTRIBUICAO SOBRE O FATURAMENTO DAS EMPRESAS DE INFORMATICA
448,1,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA
449,0,OUTRAS CONCESSOES FLORESTAIS
450,2,CONTRATOS DE TRANSICAO DE CONCESSAO FLORESTAL
451,3,REMUNERACAO DE SALDOS DE RECURSOS NAO-DESEMBOLSADOS
452,5,JUROS DE TITULOS DE RENDA
453,0,COMPENSACOES AMBIENTAIS
454,1,CONTRIBUICAO DE MELHORIA PARA EXPANSAO DE REDE DE ILUMINACAO PUBLICA RURAL
455,1,ROYALTIES PELA EXPLORACAO DO PATRIMONIO GENETICO OU CONHECIMENTO TRADICIONAL ASSOCIADO
456,1,TRANSFERENCIAS ADVINDAS DE EMENDAS PARLAMENTARES INDIVIDUAIS
457,1,TARIFA AEROPORTUARIA
458,1,COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS HIDRICOS
459,0,RESTITUICAO DE BENEFICIOS ASSISTENCIAIS
460,1,RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES
461,1,RESTITUICAO DE GARANTIAS PRESTADAS
462,0,RESTITUICAO DE RECURSOS DE FOMENTO
463,2,TRANSFERENCIAS DE CONVENIO DA UNIAO DESTINADAS A PROGRAMAS DE EDUCACAO
464,2,TRANSFERENCIAS DE CONVENIO DOS ESTADOS DESTINADAS A PROGRAMAS DE EDUCACAO
465,7,TRANSFERENCIAS DE CONVENIOS DA UNIAO DESTINADAS A PROGRAMAS DE INFRAESTRUTURA EM TRANSPORTE
466,0,RESSARCIMENTO DE CUSTOS
467,1,RESSARCIMENTO DE CUSTOS
468,0,"TRANSFERENCIAS DOS MUNICIPIOS - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
469,0,TRANSFERENCIA DE CONVENIOS DOS MUNICIPIOS E DE SUAS ENTIDADES
470,1,RESSARCIMENTO AO REGIME GERAL DE PREVIDENCIA SOCIAL - RGPS
471,0,DEPOSITOS ABANDONADOS (DINHEIRO E/OU OBJETOS DE VALOR)
472,0,PREMIOS PRESCRITOS DE CONCURSOS DE PROGNOSTICOS
473,5,COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL
474,1,COMPENSACOES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES
475,0,BARREIRAS TECNICAS AO COMERCIO EXTERIOR
476,8,"COTA-PARTE DO IMPOSTO SOBRE OPERACOES DE CREDITO, CAMBIO E SEGURO, OU RELATIVAS A TITULOS OU VALORES MOBILIARIOS - COMERCIALIZACAO DO OURO"
477,0,DISPONIBILIDADES DE RECURSOS DO FUNDO SOCIAL
478,1,DISPONIBILIDADES DE RECURSOS DO FUNDO SOCIAL
479,2,ONUS DE SUCUMBENCIA
480,0,OUTRAS TRANSFERENCIAS DA UNIAO
481,5,"COTA-PARTE ROYALTIES PELA PARTICIPACAO ESPECIAL - LEI NO 9.478/97, ARTIGO 50"
482,1,TITULOS DE RESPONSABILIDADE DO TESOURO NACIONAL - MERCADO INTERNO
483,0,TRANSFERENCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTENCIA SOCIAL - FNAS
484,3,TRANSFERENCIAS DIRETAS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR - PNAE
485,0,OUTRAS RECEITAS CORRENTES
486,2,TITULOS DE RESPONSABILIDADE DO TESOURO NACIONAL - REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL NO MERCADO EXTERNO
487,1,TRANSFERENCIAS DE CONVENIOS DA UNIAO PARA O SISTEMA UNICO DE SAUDE - SUS
488,0,INSCRICAO EM CONCURSOS E PROCESSOS SELETIVOS
489,1,ALIENACAO DE ESTOQUES DA POLITICA DE GARANTIA DE PRECOS MINIMOS - PGPM
490,0,"ALIENACAO DE BENS MOVEIS ESPECIFICA PARA ESTADOS, DISTRITO FEDERAL E MUNICIPIOS"
491,0,MULTAS POR DANOS AMBIENTAIS
492,2,ALIENACAO DE INVESTIMENTOS PERMANENTES
493,1,ALIENACAO DE BENS IMOVEIS
494,0,AMORTIZACAO DE EMPRESTIMOS - REFINANCIAMENTO DE DIVIDAS DE MEDIO E LONGO PRAZO
495,0,SERVICOS DE INFORMACAO E TECNOLOGIA
496,1,MULTAS DECORRENTES DE SENTENCAS JUDICIAIS
497,1,MULTAS E JUROS PREVISTOS EM CONTRATOS
498,2,COTA-PARTE DO IPVA
499,0,RESTITUICAO DE CONVENIOS
500,0,RESTITUICAO DE BENEFICIOS NAO DESEMBOLSADOS
501,9,OUTRAS TRANSFERENCIAS DE CONVENIOS DOS MUNICIPIOS
502,1,INDENIZACOES POR DANOS CAUSADOS AO PATRIMONIO PUBLICO
503,1,TRANSFERENCIA DE CONVENIOS DE INSTITUICOES PRIVADAS
504,6,TRANSFERENCIAS DE CONVENIOS DA UNIAO DESTINADAS A PROGRAMAS DE MEIO AMBIENTE
505,1,IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI - FUMO
506,1,"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO"
507,0,TAXA DE CONTROLE E FISCALIZACAO DE PRODUTOS QUIMICOS
508,0,"IMPOSTOS ESPECIFICOS DE ESTADOS, DF E MUNICIPIOS"
509,4,"IMPOSTO SOBRE TRANSMISSAO ""INTER VIVOS"" DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS"
510,1,IMPOSTO SOBRE A EXPORTACAO
511,2,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - MUNICIPIOS NAO-CONVENIADOS
512,0,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA
513,1,IMPOSTO SOBRE A RENDA DE PESSOA JURIDICA - IRPJ - LIQUIDA DE INCENTIVOS
514,0,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE
515,0,RECEITA INTRAORCAMENTARIA - TAXAS PELO EXERCICIO DO PODER DE POLICIA
516,0,RECEITA INTRAORCAMENTARIA - RESSARCIMENTOS
517,1,RECEITA INTRAORCAMENTARIA - APORTES PERIODICOS PARA AMORTIZACAO DE DEFICIT ATUARIAL DO RPPS
518,2,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - MULTAS E JUROS
519,2,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - MULTAS E JUROS - COTA PARTE DO ESTADO PARA O FUNDEB
520,3,"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - MULTAS E JUROS - COTA PARTE DO ESTADO PARA O FUNDEB"
521,1,RECEITA INTRAORCAMENTARIA - OUTRAS CONTRIBUICOES SOCIAIS
1,1,TAXA DE CONTROLE E FISCALIZACAO DE PRODUTOS QUIMICOS
2,0,TAXA DE CONTROLE E FISCALIZACAO AMBIENTAL
3,1,TAXA DE CONTROLE E FISCALIZACAO DA PESCA E AQUICULTURA
4,4,IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI - VINCULADOS A IMPORTACAO
5,3,"IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS"
6,0,OUTROS IMPOSTOS
7,1,OUTROS IMPOSTOS
8,0,IMPOSTOS SOBRE O COMERCIO EXTERIOR
9,1,IMPOSTO SOBRE A IMPORTACAO
10,1,RECEITAS DE ALIENACAO DE CERTIFICADOS DE POTENCIAL ADICIONAL DE CONSTRUCAO - CEPAC
11,1,"RECEITA INTRAORCAMENTARIA - TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO"
12,0,RECEITA INTRAORCAMENTARIA - CONTRIBUICOES
13,0,DEDUCAO DAS RECEITAS - IMPOSTOS ESPECIFICOS DE ESTADOS/DF MUNICIPIOS
14,0,DEDUCAO DAS RECEITAS - IMPOSTOS SOBRE O PATRIMONIO PARA ESTADOS/DF/MUNICIPIOS
15,1,RECEITA INTRAORCAMENTARIA - RECEITA AGROPECUARIA
16,1,RECEITA INTRAORCAMENTARIA - SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS
17,0,"RECEITA INTRAORCAMENTARIA - SERVICOS DE REGISTRO, CERTIFICACAO E FISCALIZACAO"
18,1,RECEITA INTRAORCAMENTARIA - SERVICOS DE INFORMACAO E TECNOLOGIA
19,0,RECEITA INTRAORCAMENTARIA - OUTROS SERVICOS
20,1,TRANSFERENCIAS DE OUTRAS INSTITUICOES PUBLICAS
21,1,TRANSFERENCIAS DE PESSOAS FISICAS
22,0,OUTRAS RECEITAS DE CAPITAL
23,1,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - PRINCIPAL - MULTA ISOLADA POR INFRACAO A OBRIGACAO ACESSORIA
24,1,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - DIVIDA ATIVA
25,1,DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - DIVIDA ATIVA - MULTA ISOLADA POR INFRACAO A OBRIGACAO ACESSORIA - CESSAO DE DIREITO
26,5,TRANSFERENCIAS DE CONVENIOS DA UNIAO DESTINADAS A PROGRAMAS DE SANEAMENTO BASICO
27,0,DEDUCAO DAS RECEITAS - JUROS E CORRECOES MONETARIAS
28,1,DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS - PRINCIPAL
29,1,DEDUCAO DAS RECEITAS - COTA-PARTE DO FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL - PRINCIPAL
30,0,RECEITA INDUSTRIAL
31,1,RECEITA INDUSTRIAL
32,0,DELEGACAO DOS SERVICOS DE INFRAESTRUTURA
33,0,DELEGACAO PARA EXPLORACAO DA INFRAESTRUTURA DE TRANSPORTE FERROVIARIO
34,0,CONTRIBUICOES PARA O REGIME PROPRIO DE PREVIDENCIA SOCIAL - RPPS DE ESTADOS/DF/MUNICIPIOS
35,0,DELEGACAO PARA EXPLORACAO DA INFRAESTRUTURA DE TRANSPORTE AQUAVIARIO
36,1,DELEGACAO PARA EXPLORACAO DA INFRAESTRUTURA AEROPORTUARIA
37,0,SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS
38,1,CONTRIBUICAO PATRONAL DO MILITAR ATIVO
39,7,CONCESSAO DE LICENCAS E AUTORIZACOES DA AGENCIA ESPACIAL BRASILEIRA
40,9,OUTRAS DELEGACOES DOS SERVICOS DE TELECOMUNICACAO
41,0,DEMAIS DELEGACOES DE SERVICOS PUBLICOS
42,0,PETROLEO - REGIME DE CONCESSAO
43,0,ROYALTIES MINIMOS PELA PRODUCAO DE PETROLEO - CONTRATO DE CONCESSAO
44,0,CONTRIBUICAO SOBRE AS RECEITAS DE CONCESSIONARIAS E PERMISSIONARIAS DE ENERGIA ELETRICA
45,2,ROYALTIES EXCEDENTES PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CONTRATO DE CONCESSAO - DECLARACAO DE COMERCIALIDADE ANTES DE 3/12/2012 - AREA E CAMADA
46,1,CONTRIBUICAO SOBRE A RECEITA OPERACIONAL BRUTA DECORRENTE DE PRESTACAO DE SERVICOS DE TELECOMUNICACOES
47,2,PARTICIPACAO ESPECIAL PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CONTRATO DE CONCESSAO - DECLARACAO DE COMERCIALIDADE ANTES DE 3/12/2012 - AREA E CAMAD
48,0,CONTRIBUICOES SOBRE CONCURSOS DE PROGNOSTICOS E SORTEIOS
49,4,CONTRIBUICAO SOBRE LOTERIAS DE NUMEROS
50,5,CONTRIBUICAO SOBRE LOTERIA INSTANTANEA
51,0,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA
52,0,EXPLORACAO DO PATRIMONIO IMOBILIARIO DO ESTADO
53,0,OUTORGA DE DIREITOS DE USO DE RECURSOS HIDRICOS
54,1,CONTRIBUICAO RELATIVA A DESPEDIDA DE EMPREGADO SEM JUSTA CAUSA
55,1,CONTRIBUICAO SOCIAL DO SALARIO-EDUCACAO
56,0,CONTRIBUICAO PARA O ENSINO AEROVIARIO
57,2,UTILIZACAO DE RECURSOS HIDRICOS - DEMAIS EMPRESAS
58,0,EMOLUMENTOS E CUSTAS JUDICIAIS
59,0,OUTRAS CONTRIBUICOES SOCIAIS
60,1,REMUNERACAO DE DEPOSITOS BANCARIOS
61,1,OUTRAS DELEGACOES PARA EXPLORACAO DE RECURSOS NATURAIS
62,1,CONTRIBUICAO DE MELHORIA PARA EXPANSAO DA REDE DE ILUMINACAO PUBLICA NA CIDADE
63,0,CONTRIBUICAO DE MELHORIA PARA PAVIMENTACAO E OBRAS COMPLEMENTARES
64,0,CONTRIBUICOES SOCIAIS
65,0,DEMAIS RECEITAS PATRIMONIAIS
66,0,TRANSFERENCIA DA COTA-PARTE DA COMPENSACAO FINANCEIRA (25%)
67,1,TRANSFERENCIAS DE ESTADOS A CONSORCIOS PUBLICOS
68,1,RESTITUICAO DE BENEFICIOS PREVIDENCIARIOS
69,0,RESTITUICAO DE PARCELAS DO SEGURO DESEMPREGO RECEBIDAS INDEVIDAMENTE
70,1,SERVICOS DE ATENDIMENTO A SAUDE
71,1,RESTITUICAO DECORRENTE DA NAO APLICACAO DE INCENTIVOS FISCAIS RELATIVOS A LEI ROUANET
72,2,RESTITUICAO DECORRENTE DA NAO APLICACAO DE INCENTIVOS FISCAIS RELATIVOS A LEI DO AUDIOVISUAL
73,0,RESTITUICAO DECORRENTE DA APLICACAO IRREGULAR DE RECURSOS ELEITORAIS
74,0,RESSARCIMENTOS
75,1,TRANSFERENCIAS DOS MUNICIPIOS E DE SUAS ENTIDADES
76,1,"CONCESSAO DE AVAIS, GARANTIAS E SEGUROS"
77,1,DEPOSITOS ABANDONADOS (DINHEIRO E/OU OBJETOS DE VALOR)
78,0,APORTES PERIODICOS PARA AMORTIZACAO DE DEFICIT ATUARIAL DO RPPS
79,0,COMPENSACOES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES
80,1,BARREIRAS TECNICAS AO COMERCIO EXTERIOR
81,1,CONTRAPARTIDA DE SUBVENCOES OU SUBSIDIOS
82,0,VARIACAO CAMBIAL
83,1,VARIACAO CAMBIAL
84,1,TRANSFERENCIAS DOS ESTADOS E DISTRITO FEDERAL A CONSORCIOS PUBLICOS
85,1,TRANSFERENCIA DE RECURSOS DO SISTEMA UNICO DE SAUDE - SUS - REPASSES FUNDO A FUNDO
86,0,OUTRAS TRANSFERENCIAS MULTIGOVERNAMENTAIS
87,1,TRANSFERENCIA DE CONVENIOS DO EXTERIOR
88,7,OPERACOES DE CREDITO INTERNAS PARA PROGRAMAS DE MORADIA POPULAR
89,1,OPERACOES DE CREDITO EXTERNAS PARA PROGRAMAS DE EDUCACAO
90,1,INSCRICAO EM CONCURSOS E PROCESSOS SELETIVOS
91,0,"SERVICOS DE REGISTRO, CERTIFICACAO E FISCALIZACAO"
92,1,MULTAS PREVISTAS NA LEI GERAL DAS TELECOMUNICACOES
